customerID,gender,SeniorCitizen,Partner,tenure,Contract,MonthlyCharges,Churn
C0000,Male,0,No,29,One year,47.95,No
C0001,Female,1,No,70,Two year,116.76,No
C0002,Female,0,Yes,28,Two year,41.07,No
C0003,Male,0,Yes,5,Month-to-month,19.61,Yes
C0004,Female,1,No,55,Month-to-month,51.24,No
C0005,Female,0,Yes,50,One year,69.26,No
C0006,Female,0,No,53,One year,20.89,No
C0007,Female,0,No,10,Month-to-month,75.04,No
C0008,Female,1,Yes,43,One year,107.18,No
C0009,Female,0,No,59,One year,89.88,No
C0010,Female,0,No,30,Two year,81.54,No
C0011,Male,0,Yes,59,One year,115.51,No
C0012,Male,0,No,14,Two year,115.74,Yes
C0013,Female,1,Yes,48,Month-to-month,102.08,No
C0014,Male,0,Yes,56,One year,79.99,Yes
C0015,Male,0,Yes,65,Two year,67.75,No
C0016,Male,0,No,7,Two year,19.36,No
C0017,Male,0,Yes,69,Two year,79.84,No
C0018,Male,0,Yes,15,Two year,118.89,Yes
C0019,Female,0,,52,One year,101.45,No
C0020,Male,1,Yes,32,Month-to-month,52.74,Yes
C0021,Female,1,No,34,Two year,33.51,No
C0022,Female,0,No,29,Month-to-month,97.97,No
C0023,Male,1,Yes,51,Two year,93.88,No
C0024,Male,0,No,53,Two year,116.64,No
C0025,Female,1,No,4,Two year,107.23,No
C0026,Female,1,No,64,Month-to-month,74.68,No
C0027,Female,0,Yes,26,Month-to-month,28.33,No
C0028,Female,0,No,5,Month-to-month,67.32,No
C0029,Male,1,No,17,One year,50.0,No
C0030,Female,0,No,68,Month-to-month,70.27,Yes
C0031,Male,0,No,56,One year,48.77,No
C0032,Female,0,No,32,One year,105.91,Yes
C0033,Male,0,Yes,31,Month-to-month,104.12,No
C0034,Female,0,No,48,Two year,50.18,No
C0035,Female,0,No,32,Two year,79.16,No
C0036,Male,1,Yes,14,One year,61.88,Yes
C0037,Female,0,Yes,61,Two year,110.73,No
C0038,Female,0,Yes,32,Two year,37.11,No
C0039,Male,0,Yes,56,One year,89.17,Yes
C0040,Male,0,No,28,Month-to-month,116.98,Yes
C0041,Female,0,No,43,One year,35.88,No
C0042,Male,0,No,50,Month-to-month,38.6,No
C0043,Female,0,No,46,Month-to-month,88.76,No
C0044,Female,0,No,37,One year,97.47,No
C0045,Female,0,Yes,2,Two year,68.04,Yes
C0046,Female,0,No,17,Month-to-month,80.19,Yes
C0047,Female,1,Yes,15,One year,39.69,No
C0048,Male,1,Yes,67,One year,66.61,Yes
C0049,Female,1,Yes,22,One year,29.43,Yes
C0050,Male,1,No,7,Month-to-month,50.79,Yes
C0051,Female,0,No,55,Two year,47.05,No
C0052,Female,0,Yes,49,Two year,63.35,Yes
C0053,Female,0,Yes,26,One year,112.87,No
C0054,Female,0,Yes,4,Month-to-month,36.49,No
C0055,Male,0,Yes,26,Two year,58.94,No
C0056,Female,0,Yes,60,One year,80.79,No
C0057,Male,0,Yes,18,Two year,114.55,No
C0058,Male,0,No,36,Two year,31.58,Yes
C0059,Female,0,,20,Month-to-month,111.62,No
